feB,feZ,fFBeD,fFBeS,fFByD,fFByS,fFZeD,fFZeS,fFZyD,fFZyS,fMBeD,fMBeS,fMByD,fMByS,fMZeD,fMZeS,fMZyD,fMZyS,fyB,fyZ,meB,meZ,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,myB,myZ,Glottocode
ni-tha-thäʼ,ni-mi-thäʼ,ni-tǎ-kwǎʼ-mǎ,ni-to-ta-mǎʼ,na-tǎ-tǎʼ-mǎ,ni-to-ta-mǎʼ,ni-ton-na-thǎʼ,niʼ-kwǐ-thǎ,ni-ton-na-thǎʼ,niʼ-kwǐ-thǎ,ni-ke-͡äʼ,na-si-thäʼ,ni-ke-͡äʼ,na-si-thäʼ,neta-kwǎʼ-mǐʼ,ni-to-ta-mǎʼ,na-ta-tǎ-mǎ,ni-to-ta-mäʼ,kä-chǎ-mä-thǎʼ-mi,kä-chǎ-nä-thǎʼ-ni,ni-tha-thäʼ,ni-mi-thäʼ,ni-tǎ-kwǎʼ-mǎ,ni-to-ta-mǎʼ,ne-tǎ-kwǎ-mǎ,ni-to-ta-mǎʼ,ni-sem-e-thǎʼ,nen-na-kwǎ-na-thǎ,ni-sem-e-thǎʼ,nen-na-kwǎ-na-thǎ,ni-ke-͡äʼ,na-si-thäʼ,ni-ke-͡äʼ,na-si-thäʼ,ne-tǎ-kwǎʼ-mǐ,ni-to-ta-mǎʼ,ne-ta-kwǎ-mǐ,ni-to-ta-mäʼ,kä-chǎ-nä-thǎʼ-mi,kä-chǎ-mä-thǎʼ-ni,kick1244
mokorowakwa,mokorowakwa,mwanawababam'uk'ur'u,mwanawababam'uk'ur'u,mwanawababamunyinyi,mwanawababamunyinyi,mwanawatata,mwanawatata,mwanawatata,mwanawatata,mwanawamama,mwanawamama,mwanawamama,mwanawamama,mwanawatata,mwanawatata,mwanawatata,mwanawatata,morunawakwa,morunawakwa,mokorowakwa,mokorowakwa,mwanawababam'uk'ur'u,mwanawababam'uk'ur'u,mwanawababamunyinyi,mwanawababamunyinyi,mwanawatata,mwanawatata,mwanawatata,mwanawatata,mwanawamama,mwanawamama,mwanawamama,mwanawamama,mwanawatata,mwanawatata,mwanawatata,mwanawatata,morunawakwa,morunawakwa,kiku1240
tukeh,tukeh,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadey,tadey,tukeh,tukeh,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadeypetaam,tadey,tadey,kipu1237
-ura,-nana,-nana,-ura,-naga,-ura,-nana,-ura,-naga,-ura,-nana,-ura,-naga,-ura,-nana,-ura,-naga,-ura,-ura,-naga,-nana,-ura,-ura,-nana,-ura,-naga,-ura,-nana,-ura,-naga,-ura,-nana,-ura,-naga,-ura,-nana,-ura,-naga,-naga,-ura,kira1248
námu,mábirirárobo,mábirirárobo,námu,nirirárobo,níriradúbu,mábirirárobo,námu,nirirárobo,níriradúbu,mábirirárobo,námu,nirirárobo,níriradúbu,mábirirárobo,námu,nirirárobo,níriradúbu,níriradúbu,nirirárobo,námu,mábirirárobo,mábirirárobo,námu,nirirárobo,níriradúbu,mábirirárobo,námu,nirirárobo,níriradúbu,mábirirárobo,námu,nirirárobo,níriradúbu,mábirirárobo,námu,nirirárobo,níriradúbu,níriradúbu,nirirárobo,kiwa1251
atanac,poana,buku,buku,buku,buku,nepa,nepa,nepa,nepa,nepa,nepa,nepa,nepa,buku,buku,buku,buku,muna,poana,atanac,poana,buku,buku,buku,buku,nepa,nepa,nepa,nepa,nepa,nepa,nepa,nepa,buku,buku,buku,buku,muna,poana,komb1273
wayn-nìɨlwema,jèmtìilema,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wayn-nìɨtwelà,jèmtìitelà,wayn-nìɨlwema,jèmtìilema,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynlùmsɨ̀nì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wàynwàyn-nànì,wayn-nìɨtwelà,jèmtìitelà,komc1235
nane,nane,nane,nane,ngth,ngth,babai,babai,babai,babai,babai,babai,babai,babai,naku,naku,naku,naku,nəŋgeθ,nəŋgeθ,nane,nane,nane,nane,ngth,ngth,babai,babai,babai,babai,babai,babai,babai,babai,naku,naku,naku,naku,nəŋgeθ,nəŋgeθ,komn1238
phuméape,phuméadi,aoa,aoa,aoa,aoa,ayane,ayane,ayane,ayane,auwani,ayane,auwani,ayane,aoa,aoa,aoa,aoa,motwape,motwadi,phuméape,phuméadi,aoa,aoa,aoa,aoa,ayane,ayane,ayane,ayane,auwani,ayane,auwani,ayane,aoa,aoa,aoa,aoa,motwape,motwadi,komo1260
lěk-lass,loǔk-lass,mä-läǔk,mä-lěk,mä-läǔk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,lik-srik,loǔk-srik,lěk-lass,loǔk-lass,mä-läǔk,mä-lěk,mä-läǔk,mä-lěk,mä-loǔk,mä-lěk,mä-louk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,mä-loǔk,mä-lěk,lik-srik,loǔk-srik,kosr1238
taigu,turagu,tanavavigukava,taigu,tanavavigukava,taigu,nauvagu,nauvagu,nauvagu,nauvagu,nauvagu,nauvagu,nauvagu,nauvagu,tanavavigu,taigu,tanavavigu,taigu,taigu,turagu,turagu,taigu,taigu,turagukava,taigu,turagukava,nauvagu,nauvagu,nauvagu,nauvagu,nauvagu,nauvagu,nauvagu,nauvagu,taigu,turagu,taigu,turagu,turagu,taigu,kuan1248
kurranyutyanu,kurranyutyanu,katiwa,katiwa,katiwa,katiwa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,katiwa,katiwa,katiwa,katiwa,kulyarri,marlatyanu,kurranyutyanu,kurranyutyanu,katiwa,katiwa,katiwa,katiwa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,ngarrumpa,katiwa,katiwa,katiwa,katiwa,kulyarri,marlatyanu,kuka1246
yaba,babarr,bangunji,bangunji,bangunji,bangunji,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,bangunji,bangunji,bangunji,bangunji,yabaju,jinkurr,yaba,babarr,bangunji,bangunji,bangunji,bangunji,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,bangunji,bangunji,bangunji,bangunji,yabaju,jinkurr,kuku1273
kaka,kaka,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,andi,andi,kaka,kaka,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,andi,andi,kuli1254
эркъардаш,къызардаш,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,гиччикъардаш,гиччикъызардаш,эркъардаш,къызардаш,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,уьзукъари,гиччикъардаш,гиччикъызардаш,kumy1244
o'a,o'anageni,o'anageni,o'a,asi,asi,o'anageni,o'a,asi,asi,o'anageni,o'a,asi,asi,o'anageni,o'a,asi,asi,asi,asi,o'a,o'anageni,o'anageni,o'a,asi,asi,o'anageni,o'a,asi,asi,o'anageni,o'a,asi,asi,o'anageni,o'a,asi,asi,asi,asi,kwai1243
miunntumba,kalitumbå,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ndtem,kalindembî,miunntumba,kalitumbå,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ndtem,kalindembî,kwas1243
pemalene,kakingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,pemalene,kakingi,yangone,pemalene,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,kaingi,yangone,pemalene,kyak1244
bhrā,bhéṇ,pitrēr,pitrēr,pitrēr,pitrēr,phupphēr,phupphēr,phupphēr,phupphēr,môlēr,môlēr,môlēr,môlēr,masēr,masēr,masēr,masēr,bhrā,bhéṇ,bhrā,bhéṇ,pitrēr,pitrēr,pitrēr,pitrēr,phupphēr,phupphēr,phupphēr,phupphēr,môlēr,môlēr,môlēr,môlēr,masēr,masēr,masēr,masēr,bhrā,bhéṇ,lahn1241
tibʼ-a-lo,chu-wa',chu-wa',tibʼ-a-lo,me-tonʼ-kä,me-sonʼ-kä-lä,cha-päʼ-she,she-shaʼ-she,cha-päʼ-she,she-shaʼ-she,cha-päʼ-she,she-chaʼ-she,cha-päʼ-she,she-chaʼ-she,chu-wa',tibʼ-a-lo,me-tonʼ-kä,me-sonʼ-kä-lä,me-sonʼ-kä-lä,me-tonʼ-kä,che-aʼ,ton-ka',ton-ka',tibʼ-a-lo,me-tonkʼ-she,me-sonʼ-kä-lä,ha-käʼ-she,tä-häʼ-she,ha-käʼ-she,tä-häʼ-she,hä-käʼ-she,tä-häʼ-she,hä-käʼ-she,tä-häʼ-she,ton-ka',cheʼ-a,me-tonkʼ-she,me-sonʼ-kä-lä,me-sonʼ-kä-lä,me-tänkʼ-she,lako1247
-aipang,-i'e,pang,pang,pang,pang,-ingtamme,-baddang,-ingtamme,-baddang,-ingtamme,-baddang,-ingtamme,-baddang,pang,pang,pang,pang,-aipang,-iaku,-ikkar,-aipang,pang,pang,pang,pang,-baddang,-'ar,-baddang,-'ar,-baddang,-'ar,-baddang,-'ar,pang,pang,pang,pang,-iaku,-aipang,lamm1241
kungku,yaku,jembe,jembe,jembe,jembe,benyin,benyin,benyin,benyin,jembe,jembe,jembe,jembe,benyin,benyin,benyin,benyin,kungku,kungku,kuu,kuu,jembe,jembe,jembe,jembe,benyin,benyin,benyin,benyin,jii,jii,jii,jii,benyin,benyin,benyin,benyin,kuu,kuu,lard1243
frāter,soror,sororpatruelis,fraterpatruelis,sororpatruelis,fraterpatruelis,amitina,amitinus,amitina,amitinus,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu,frāterminor,sororminor,frāter,soror,sororpatruelis,fraterpatruelis,sororpatruelis,fraterpatruelis,amitina,amitinus,amitina,amitinus,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu,frāterminor,sororminor,lati1261
frater,soror,patruelis,patruelis,patruelis,patruelis,amitinus,amitinus,amitinus,amitinus,consobrinus,consobrinus,consobrinus,consobrinus,matruelis,matruelis,matruelis,matruelis,frater,soror,frater,soror,patruelis,patruelis,patruelis,patruelis,amitinus,amitinus,amitinus,amitinus,consobrinus,consobrinus,consobrinus,consobrinus,matruelis,matruelis,matruelis,matruelis,frater,soror,lati1261a
brālis,māsa,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,jaunākaisbrālis,jaunākāmāsa,brālis,māsa,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,brālēns,māsīca,jaunākaisbrālis,jaunākāmāsa,latv1249
weka,tuaka,tuaka,weka,tachi,weka,karua,watchi,karua,watchi,karua,watchi,karua,watchi,tuaka,weka,tachi,weka,weka,tachi,tuaka,weka,weka,tuaka,weka,tachi,watchi,karua,watchi,karua,watchi,karua,watchi,karua,weka,tuaka,weka,tachi,tachi,weka,laua1243
sia'a,sia'a,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,tuai,tuai,sia'a,sia'a,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,soungaangseinsang,tuai,tuai,lauj1238
lok-jeʼ-hä,ak-jeʼ-yä,ak-jeʼ-yä,lok-jeʼ-hä,ka-gäʼ-ah,le-gäʼ-ah,ak-je-yä,lok-jeʼ-hä,ka-gäʼ-ah,le-gäʼ-ah,ak-jeʼ-yä,lok-jeʼ-ah,kä-gäʼ-ah,le-gäʼ-ah,ak-jeʼ-yä,lok-jeʼ-hä,ka-gäʼ-ah,lok-jeʼ-hä,le-gäʼ-ah,ka-gäʼ-ahʼ,lok-jeʼ-hä,ak-jeʼ-yä,ak-jeʼ-yä,lok-jeʼ-hä,ka-gäʼ-ah,le-gäʼ-ah,ak-je-yä,lak-jeʼ-hä,ka-je-yä,le-gäʼ-ah,ak-jeʼ-yä,lok-jeʼ-hä,kä-gäʼ-ah,le-gäʼ-ah,ak-jeʼ-yä,lok-jeʼ-hä,ka-gäʼ-ah,lok-jeʼ-hä,le-gäʼ-ah,ka-gäʼ-ahʼ,laur1250
tai,gore,gore,tai,gore,tai,gore,tai,gore,tai,gore,tai,gore,tai,gore,tai,gore,tai,tai,gore,tai,gore,gore,tai,gore,tai,gore,tai,gore,tai,gore,tai,gore,tai,gore,tai,gore,tai,tai,gore,lele1267
nɨmwan-,pwia-,pwia-,nɨmwan-,norh-,nɨmwan-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,nɨmwan-,norh-,pwia-,nouin-,nouin-,pwia-,nouin-,norh-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,mɨra-,norh-,nouin-,lena1238
kuna'anungk,getawangk,getawangk,kuna'anungk,geta'asungk,kuna'anungk,gusunangk,gutamangk,gusunangk,gutamangk,guna'atungk,guna'atungk,guna'atungk,guna'atungk,getawangk,kuna'anungk,geta'asungk,kuna'anungk,kuna'anungk,geta'asungk,getawangk,kubabunungk,kubabunungk,getawangk,kubabunungk,geta'asungk,gusunangk,gutamangk,gusunangk,gutamangk,guna'atungk,guna'atungk,guna'atungk,guna'atungk,kubabunungk,getawangk,kubabunungk,geta'asungk,geta'asungk,kubabunungk,lete1241
tatámokóló,yaya,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,tatáléki,lekiyamwasi,tatámokóló,yaya,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,ndeko,tatámokóló,tatáléki,lekiyamwasi,ling1263
tatan,vivin,salan,salan,salan,salan,nida,mama,nida,mama,salan,salan,salan,salan,salan,salan,salan,salan,tasn,vivin,tatan,vivin,salan,salan,salan,salan,nida,mama,nida,mama,salan,salan,salan,salan,salan,salan,salan,salan,tasn,vivin,ling1265
cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',lipa1241
aji̠,atst,atst,aji̠,ni̠ma,niza̠,atst,aji̠,ni̠ma,niza̠,atst,aji̠,ni̠ma,niza̠,atst,aji̠,ni̠ma,niza̠,niza̠,ni̠ma,aji̠,atst,atst,aji̠,ni̠ma,niza̠,atst,aji̠,ni̠ma,niza̠,atst,aji̠,ni̠ma,niza̠,atst,aji̠,ni̠ma,niza̠,niza̠,ni̠ma,lisu1250a
aji̠,atsi,atsi,aji̠,ni̠ma,niza̠,atsi,aji̠,ni̠ma,niza̠,atsi,aji̠,ni̠ma,niza̠,atsi,aji̠,ni̠ma,niza̠,niza̠,ni̠ma,aji̠,atsi,atsi,aji̠,ni̠ma,niza̠,atsi,aji̠,ni̠ma,niza̠,atsi,aji̠,ni̠ma,niza̠,atsi,aji̠,ni̠ma,niza̠,niza̠,ni̠ma,lisu1250b
aji̠,tatɕi,tatɕi,aji̠,ni̠ma,niza̠,tatɕi,aji̠,ni̠ma,niza̠,tatɕi,aji̠,ni̠ma,niza̠,tatɕi,aji̠,ni̠ma,niza̠,niza̠,ni̠ma,aji̠,tatɕi,tatɕi,aji̠,ni̠ma,niza̠,tatɕi,aji̠,ni̠ma,niza̠,tatɕi,aji̠,ni̠ma,niza̠,tatɕi,aji̠,ni̠ma,niza̠,niza̠,ni̠ma,lisu1250c
avi,adzj,adzj,avi,nənə,nɛɹmɒ,adzj,avi,nənə,nɛɹmɒ,adzj,avi,nənə,nɛɹmɒ,adzj,avi,nənə,nɛɹmɒ,nɛɹmɒ,nənə,avi,adzj,adzj,avi,nənə,nɛɹmɒ,adzj,avi,nənə,nɛɹmɒ,adzj,avi,nənə,nɛɹmɒ,adzj,avi,nənə,nɛɹmɒ,nɛɹmɒ,nənə,lisu1250d
brolis,sesuõ,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,brolis,sesuõ,brolis,sesuõ,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,pusseserė,pusbrolis,brolis,sesuõ,lith1251
chichiak,takelek,takelek,chichiak,takelek,chichiak,takelek,chichiak,takelek,chichiak,takelek,chichiak,takelek,chichiak,takelek,chickiak,takelek,chickiak,chichiak,takelek,tigik,chichiak,chichiak,tigik,chichiak,tigik,chichiak,tigik,chichiak,tigik,chichiak,tigik,chichiak,tigik,chickiak,tigik,chickiak,tigik,tigik,chichiak,loto1240
muhulwani,kaizeli,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,munyani,kaizeli,muhulwani,kaizeli,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,munyani,kaizeli,lozi1239
mukulu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muakunyi,mukulu,mukulu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muan'etu,muakunyi,muakunyi,luba1249
brudder,schwester,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brudder,schwester,brudder,schwester,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brudder,schwester,luxe1241
tata',tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,ani',ani',tata',tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,ani',ani',maan1238
bátko,ceca,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,brat,sestra,bátko,ceca,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,brat,sestra,mace1250
t-ano,t-ao,t-ao,t-ano,t-ao,t-ano,ø-tmo,t-ara,ø-tmo,t-ara,ø-tmo,t-ara,ø-tmo,t-ara,t-ao,t-ano,t-ao,t-ano,t-ano,t-ao,t-ao,t-ano,t-ano,t-ao,t-ano,t-ao,ø-sayuoh,ø-tmo,ø-sayuoh,ø-tmo,ø-sayuoh,ø-tmo,ø-sayuoh,ø-tmo,t-ano,t-ao,t-ano,t-ao,t-ao,t-ano,maib1239
bháiyā,didi,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,pisiáutbahin,pisiáutbhāy,pisiáutbahin,pisiáutbhāy,mamiáutbahin,mamiáutbhāy,mamiáutbahin,mamiáutbhāy,masiáutbahin,masiáutbhāy,masiáutbahin,masiáutbhāy,bhāy,bahīn,bháiyā,didi,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,pisiáutbahin,pisiáutbhāy,pisiáutbahin,pisiáutbhāy,mamiáutbahin,mamiáutbhāy,mamiáutbahin,mamiáutbhāy,masiáutbahin,masiáutbhāy,masiáutbahin,masiáutbhāy,bhāy,bahīn,mait1250
numbumbunu,numbumbunu,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,numbumbunu,numbumbunu,numbumbunu,numbumbunu,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,kakawalikola,numbumbunu,numbumbunu,mako1251
abang,adek,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,abang,adek,abang,adek,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,adeksapu-pu,abang,adek,mala1479
ba,irmangfemi,prima,primu,prima,primu,prima,primu,prima,primu,prima,primu,prima,primu,prima,primu,prima,primu,irmangmachu,irmangfemi,ba,irmangfemi,prima,primu,prima,primu,prima,primu,prima,primu,prima,primu,prima,primu,prima,primu,prima,primu,irmangmachu,irmangfemi,mala1533
n'-hayʼ-sees,nu-muʼ-sees,n'-pee-hen-mǔm,neet-see-kesʼorn'-tul-nǔmʼ,n'-peeʼ-hen-mum,n'-seeʼ-meesorn'-tul-numʼ,nu-tul-nǔʼ,n'-tul-nǔmʼ,n'-tul-nǔʼ,n'-tul-nǔmʼ,ne-tse-kes',neet-seeʼ-kes,ne-tse-kes',neet-see-kesʼ,nee-tse-kesʼ,n'-tul-mǔmʼ,nee-tse-kesʼ,neet-see-kesʼ,noo-seeʼ-mees,noo-seeʼ-mees,n'-hayʼ-sees,nu-muʼ-sees,n'-pee-hen-mǔm,neet-see-kesʼorn'-tul-nǔmʼ,n'-pee-hen-mum,n'-see-wesorn'-tul-nǔmʼ,nu-tä-kw-susʼ-kw,n'-tä-gusʼ,nu-tä-kw-susʼ-kw,n'-tä-gus,nu-tä-kw'-susʼ-ku,n'-täʼ-gus,nu-tä-kw'-susʼ-kw,nu'-täʼ-gus,nu-tä-kw-sǔsʼ-kw,n'-seeʼ-wes,nu-tä-kw-sǔsʼ-kw,n'-seeʼ-wes,noo-seeʼ-mees,noo-seeʼ-mees,male1293
tari,a'a,tari,tari,to'a,to'a,tari,tari,to'a,to'a,tari,tari,to'a,to'a,tari,tari,to'a,to'a,to'a,to'a,a'a,tari,tari,tari,to'a,to'a,tari,tari,to'a,to'a,tari,tari,to'a,to'a,tari,tari,to'a,to'a,to'a,to'a,mana1295
tu-ngane,tua-kana,tua-kana,tu-ngane,teina,tu-ngane,tua-kana,tu-ngane,teina,tu-ngane,tua-kana,tu-ngane,teina,tu-ngane,tua-kana,tu-ngane,teina,tu-ngane,tu-ngane,teina,tua-kana,tua-'ine,tua-'ine,tua-kana,tua-'ine,teina,tua-'ine,tua-kana,tua-'ine,teina,tua-'ine,tua-kana,tua-'ine,teina,tua-'ine,tua-kana,tua-'ine,teina,teina,tua-'ine,mang1402
nara,weta,weta,nara,weta,nara,weta,kéla,weta,kéla,wina,késa,wina,késa,weta,nara,weta,nara,nara,weta,ka'é,weta,weta,ka'é,weta,asé,weta,kéla,weta,kéla,wina,késa,wina,késa,weta,ka'é,weta,asé,asé,weta,mang1405
indigbegena,indamowa,indamowa,indigbegena,indamehito,injemeito,indamowa,indigbegena,indamehito,injemeito,indamowa,indigbegena,indamehito,injemeito,indamowa,indigbegena,indamehito,injemeito,injemeito,indamehito,indagona,indamowa,indigbegena,indagona,injemeito,indagto,indigbegena,indagona,injemeito,indagto,indigbegena,indagona,injemeito,indagto,indigbegena,indagona,injemeito,indagto,indagto,indamehito,mani1235
